timestep,return,ag1_return,ag2_return
100,0.0,0.00000,0.00000
125,0.0,0.00000,0.00000
150,0.0,0.00000,0.00000
175,0.0,0.00000,0.00000
200,0.0,0.00000,0.00000
225,0.0,0.00000,0.00000
250,0.0,0.00000,0.00000
275,0.0,0.00000,0.00000
300,0.0,0.00000,0.00000
325,0.0,0.00000,0.00000
350,0.0,0.00000,0.00000
375,0.0,0.00000,0.00000
400,0.0,0.00000,0.00000
425,0.0,0.00000,0.00000
450,0.0,0.00000,0.00000
475,0.0,0.00000,0.00000
500,0.0,0.00000,0.00000
525,0.0,0.00000,0.00000
550,0.0,0.00000,0.00000
575,0.0,0.00000,0.00000
600,0.0,0.00000,0.00000
625,0.0,0.00000,0.00000
650,0.0,0.00000,0.00000
675,0.0,0.00000,0.00000
700,0.0,0.00000,0.00000
725,0.0,0.00000,0.00000
750,0.0,0.00000,0.00000
775,0.0,0.00000,0.00000
800,0.0,0.00000,0.00000
825,0.0,0.00000,0.00000
850,0.0,0.00000,0.00000
875,0.0,0.00000,0.00000
900,0.0,0.00000,0.00000
925,0.0,0.00000,0.00000
950,0.0,0.00000,0.00000
975,0.0,0.00000,0.00000
1000,0.0,0.00000,0.00000
1025,0.0,0.00000,0.00000
1050,0.0,0.00000,0.00000
1075,0.0,0.00000,0.00000
1100,0.0,0.00000,0.00000
1125,0.0,0.00000,0.00000
1150,0.0,0.00000,0.00000
1175,0.0,0.00000,0.00000
1200,0.0,0.00000,0.00000
1225,0.0,0.00000,0.00000
1250,0.0,0.00000,0.00000
1275,0.0,0.00000,0.00000
1300,0.0,0.00000,0.00000
1325,0.0,0.00000,0.00000
1350,0.0,0.00000,0.00000
1375,0.0,0.00000,0.00000
1400,0.0,0.00000,0.00000
1425,0.0,0.00000,0.00000
1450,0.0,0.00000,0.00000
1475,0.0,0.00000,0.00000
1500,0.0,0.00000,0.00000
1525,0.0,0.00000,0.00000
1550,0.0,0.00000,0.00000
1575,0.0,0.00000,0.00000
1600,0.0,0.00000,0.00000
1625,0.0,0.00000,0.00000
1650,0.0,0.00000,0.00000
1675,0.0,0.00000,0.00000
1700,0.0,0.00000,0.00000
1725,0.0,0.00000,0.00000
1750,0.0,0.00000,0.00000
1775,0.0,0.00000,0.00000
1800,0.0,0.00000,0.00000
1825,0.0,0.00000,0.00000
1850,0.0,0.00000,0.00000
1875,0.0,0.00000,0.00000
1900,0.0,0.00000,0.00000
1925,0.0,0.00000,0.00000
1950,0.0,0.00000,0.00000
1975,0.0,0.00000,0.00000
2000,0.0,0.00000,0.00000
2025,0.0,0.00000,0.00000
2050,0.0,0.00000,0.00000
2075,0.0,0.00000,0.00000
2100,0.0,0.00000,0.00000
2125,0.0,0.00000,0.00000
2150,0.0,0.00000,0.00000
2175,0.0,0.00000,0.00000
2200,0.0,0.00000,0.00000
2225,0.0,0.00000,0.00000
2250,0.0,0.00000,0.00000
2275,0.0,0.00000,0.00000
2300,0.0,0.00000,0.00000
2325,0.0,0.00000,0.00000
2350,0.0,0.00000,0.00000
2375,0.0,0.00000,0.00000
2400,0.0,0.00000,0.00000
2425,0.0,0.00000,0.00000
2450,0.0,0.00000,0.00000
2475,0.0,0.00000,0.00000
2500,0.0,0.00000,0.00000
2525,0.0,0.00000,0.00000
